lat,lon,date,time
38.62936354,-75.82017185,9/22/2020,10:44:18
38.62935469,-75.82017021,9/22/2020,10:44:19
38.62934585,-75.82016856,9/22/2020,10:44:20
38.629337,-75.82016692,9/22/2020,10:44:21
38.62932816,-75.82016527,9/22/2020,10:44:22
38.62931931,-75.82016363,9/22/2020,10:44:23
38.62931046,-75.82016199,9/22/2020,10:44:24
38.62930162,-75.82016034,9/22/2020,10:44:25
38.62929277,-75.8201587,9/22/2020,10:44:26
38.62928393,-75.82015705,9/22/2020,10:44:27
38.62927508,-75.82015541,9/22/2020,10:44:28
38.62926623,-75.82015377,9/22/2020,10:44:29
38.62925739,-75.82015212,9/22/2020,10:44:30
38.62924854,-75.82015048,9/22/2020,10:44:31
38.6292397,-75.82014883,9/22/2020,10:44:32
38.62923085,-75.82014719,9/22/2020,10:44:33
38.629222,-75.82014555,9/22/2020,10:44:34
38.62921316,-75.8201439,9/22/2020,10:44:35
38.62920431,-75.82014226,9/22/2020,10:44:36
38.62919547,-75.82014061,9/22/2020,10:44:37
38.62918662,-75.82013897,9/22/2020,10:44:38
38.62917778,-75.82013732,9/22/2020,10:44:39
38.62916893,-75.82013568,9/22/2020,10:44:40
38.62916008,-75.82013404,9/22/2020,10:44:41
38.62915124,-75.82013239,9/22/2020,10:44:42
38.62914239,-75.82013075,9/22/2020,10:44:43
38.62913355,-75.8201291,9/22/2020,10:44:44
38.6291247,-75.82012746,9/22/2020,10:44:45
38.62911559,-75.82012518,9/22/2020,10:44:46
38.62910648,-75.82012291,9/22/2020,10:44:47
38.62909737,-75.82012063,9/22/2020,10:44:48
38.62908826,-75.82011835,9/22/2020,10:44:49
38.62907915,-75.82011608,9/22/2020,10:44:50
38.62907004,-75.8201138,9/22/2020,10:44:51
38.62906093,-75.82011152,9/22/2020,10:44:52
38.62905183,-75.82010925,9/22/2020,10:44:53
38.62904272,-75.82010697,9/22/2020,10:44:54
38.62903361,-75.82010469,9/22/2020,10:44:55
38.6290245,-75.82010242,9/22/2020,10:44:56
38.62901539,-75.82010014,9/22/2020,10:44:57
38.62900628,-75.82009786,9/22/2020,10:44:58
38.62899717,-75.82009559,9/22/2020,10:44:59
38.62898806,-75.82009331,9/22/2020,10:45:00
38.62897895,-75.82009103,9/22/2020,10:45:01
38.62896984,-75.82008875,9/22/2020,10:45:02
38.62896073,-75.82008648,9/22/2020,10:45:03
38.62895162,-75.8200842,9/22/2020,10:45:04
38.62894251,-75.82008192,9/22/2020,10:45:05
38.6289334,-75.82007965,9/22/2020,10:45:06
38.62892429,-75.82007737,9/22/2020,10:45:07
38.62891518,-75.82007509,9/22/2020,10:45:08
38.62890608,-75.82007282,9/22/2020,10:45:09
38.62889697,-75.82007054,9/22/2020,10:45:10
38.62888786,-75.82006826,9/22/2020,10:45:11
38.62887875,-75.82006599,9/22/2020,10:45:12
38.62886964,-75.82006371,9/22/2020,10:45:13
38.62886053,-75.82006143,9/22/2020,10:45:14
38.62885142,-75.82005916,9/22/2020,10:45:15
38.62884231,-75.82005688,9/22/2020,10:45:16
38.62883613,-75.82005479,9/22/2020,10:45:17
38.62882995,-75.82005271,9/22/2020,10:45:18
38.62882377,-75.82005062,9/22/2020,10:45:19
38.62881759,-75.82004854,9/22/2020,10:45:20
38.62881141,-75.82004645,9/22/2020,10:45:21
38.62880523,-75.82004436,9/22/2020,10:45:22
38.62879905,-75.82004228,9/22/2020,10:45:23
38.62879287,-75.82004019,9/22/2020,10:45:24
38.6287867,-75.82003811,9/22/2020,10:45:25
38.62878052,-75.82003602,9/22/2020,10:45:26
38.62877434,-75.82003393,9/22/2020,10:45:27
38.62876816,-75.82003185,9/22/2020,10:45:28
38.62876198,-75.82002976,9/22/2020,10:45:29
38.6287558,-75.82002767,9/22/2020,10:45:30
38.62874962,-75.82002559,9/22/2020,10:45:31
38.62874344,-75.8200235,9/22/2020,10:45:32
38.62873726,-75.82002142,9/22/2020,10:45:33
38.62873108,-75.82001933,9/22/2020,10:45:34
38.6287249,-75.82001724,9/22/2020,10:45:35
38.62871872,-75.82001516,9/22/2020,10:45:36
38.62871254,-75.82001307,9/22/2020,10:45:37
38.62870636,-75.82001099,9/22/2020,10:45:38
38.62870018,-75.8200089,9/22/2020,10:45:39
38.628694,-75.82000681,9/22/2020,10:45:40
38.62868782,-75.82000473,9/22/2020,10:45:41
38.62868164,-75.82000264,9/22/2020,10:45:42
38.62867547,-75.82000056,9/22/2020,10:45:43
38.62866929,-75.81999847,9/22/2020,10:45:44
38.62866311,-75.81999638,9/22/2020,10:45:45
38.62865693,-75.8199943,9/22/2020,10:45:46
38.62865075,-75.81999221,9/22/2020,10:45:47
38.62864457,-75.81999012,9/22/2020,10:45:48
38.62863839,-75.81998804,9/22/2020,10:45:49
38.62863221,-75.81998595,9/22/2020,10:45:50
38.62862603,-75.81998387,9/22/2020,10:45:51
38.62861985,-75.81998178,9/22/2020,10:45:52
38.62861163,-75.81998103,9/22/2020,10:45:53
38.6286034,-75.81998028,9/22/2020,10:45:54
38.62859518,-75.81997953,9/22/2020,10:45:55
38.62858696,-75.81997879,9/22/2020,10:45:56
38.62857874,-75.81997804,9/22/2020,10:45:57
38.62857051,-75.81997729,9/22/2020,10:45:58
38.62856229,-75.81997654,9/22/2020,10:45:59
38.62855407,-75.81997579,9/22/2020,10:46:00
