"from","to","distance_m"
"2.3 Marshyhope/Yellow House","2.8 Wright",1781
"2.3 Marshyhope/Yellow House","3.9 Pump House",2945
"2.3 Marshyhope/Yellow House","Marshyhope/Grey Cabin",3844
"2.3 Marshyhope/Yellow House","3 Marshyhope/Grey Cabin",3844
"2.3 Marshyhope/Yellow House","3 Palmer's Mill",3844
"2.3 Marshyhope/Yellow House","3.2 Marshyhope/Below 392 Bridge",6145
"2.3 Marshyhope/Yellow House","3.2 Below 392 Bridge",6145
"2.3 Marshyhope/Yellow House","3.4 Marshyhope/Puckums Branch",8634
"2.3 Marshyhope/Yellow House","3.4 Puckum's Branch",8634
"2.3 Marshyhope/Yellow House","3.6 Marshyhope/Below Puckum's Branch",10967
"2.3 Marshyhope/Yellow House","3.6 Below Puckum's Branch",10967
"2.3 Marshyhope/Yellow House","3.8 Marshyhope/Above Brookview Bridge",12778
"2.3 Marshyhope/Yellow House","3.8 Above Brookview Bridge",12778
"2.3 Marshyhope/Yellow House","Marshyhope/Brookview buoy",13269
"2.3 Marshyhope/Yellow House","4 Marshyhope/Brookview buoy",14078
"2.3 Marshyhope/Yellow House","4 Brookview buoy",14078
"2.3 Marshyhope/Yellow House","4.2 Below Brookview",15468
"2.3 Marshyhope/Yellow House","4.2 Marshyhope/Below Brookview",15468
"2.3 Marshyhope/Yellow House","4.4 Above Walnut Landing Rd.",16766
"2.3 Marshyhope/Yellow House","4.4 Marshyhope/Above Walnut Landing Rd.",16766
"2.3 Marshyhope/Yellow House","4.4 Above Walnut Landing",16766
"2.3 Marshyhope/Yellow House","4.6 Walnut Landing Rd.",18080
"2.3 Marshyhope/Yellow House","4.8 Red Bank",20117
"2.3 Marshyhope/Yellow House","4.9 Marshyhope confluence",21974
"2.3 Yellow House","2.3 Yellow House",0
"2.3 Yellow House","2.8 Marshyhope/Wright",1781
"2.3 Yellow House","2.8 Wright",1781
"2.3 Yellow House","3.9 Pump House",2945
"2.3 Yellow House","Marshyhope/Grey Cabin",3844
"2.3 Yellow House","3 Marshyhope/Grey Cabin",3844
"2.3 Yellow House","3 Palmer's Mill",3844
"2.3 Yellow House","3.2 Marshyhope/Below 392 Bridge",6145
"2.3 Yellow House","3.2 Below 392 Bridge",6145
"2.3 Yellow House","3.4 Marshyhope/Puckums Branch",8634
"2.3 Yellow House","3.4 Puckum's Branch",8634
"2.3 Yellow House","3.6 Marshyhope/Below Puckum's Branch",10967
"2.3 Yellow House","3.6 Below Puckum's Branch",10967
"2.3 Yellow House","3.8 Marshyhope/Above Brookview Bridge",12778
"2.3 Yellow House","3.8 Above Brookview Bridge",12778
"2.3 Yellow House","Marshyhope/Brookview buoy",13269
"2.3 Yellow House","4 Marshyhope/Brookview buoy",14078
"2.3 Yellow House","4 Brookview buoy",14078
"2.3 Yellow House","4.2 Below Brookview",15468
"2.3 Yellow House","4.2 Marshyhope/Below Brookview",15468
"2.3 Yellow House","4.4 Above Walnut Landing Rd.",16766
"2.3 Yellow House","4.4 Marshyhope/Above Walnut Landing Rd.",16766
"2.3 Yellow House","4.4 Above Walnut Landing",16766
"2.3 Yellow House","4.6 Walnut Landing Rd.",18080
